t,x,y,z,vx,vy,vz,speed,roll,pitch,yaw,soc,thrust,state
0.0025,20,10,0,0,0,0,0,0,-2.1204e-20,0,33,174.49,ARMED
0.005,20,10,0,-2.2177e-24,0,0,2.2177e-24,0,-3.1803e-20,0,33,338.41,ARMED
0.0075,20,10,0,-6.725e-24,0,0,6.725e-24,0,-3.7101e-20,0,33,492.4,ARMED
0.01,20,10,0,-1.3021e-23,0,0,1.3021e-23,0,4.5065e-20,0,33,637.05,ARMED
0.0125,20,10,0,-3.0224e-25,0,0,3.0224e-25,0,8.6138e-20,0,32.999,772.95,ARMED
0.015,20,10,0,2.372e-23,0,0,2.372e-23,0,1.0667e-19,0,32.999,900.61,ARMED
0.0175,20,10,0,5.3807e-23,0,0,5.3807e-23,0,1.1693e-19,0,32.999,1020.5,ARMED
0.02,20,10,0,8.6689e-23,0,0,8.6689e-23,0,1.2206e-19,0,32.998,1133.2,ARMED
0.0225,20,10,3.241e-06,1.4168e-22,0,0.0012964,0.0012964,0,1.2463e-19,0,32.998,1239,ARMED
0.025,20,10,1.4901e-05,2.0233e-22,0,0.0046641,0.0046641,0,1.2719e-19,0,32.997,1338.4,ARMED
0.0275,20,10,3.9845e-05,2.6855e-22,0,0.0099776,0.0099776,0,1.2975e-19,0,32.997,1431.8,ARMED
0.03,20,10,8.2643e-05,3.4025e-22,0,0.017119,0.017119,0,1.3232e-19,0,32.996,1519.6,ARMED
0.0325,20,10,0.00014759,4.1732e-22,0,0.025977,0.025977,0,1.3488e-19,0,32.995,1602,ARMED
0.035,20,10,0.00023871,4.9969e-22,0,0.036449,0.036449,0,-3.219e-20,0,32.994,1679.4,ARMED
0.0375,20,10,0.0003598,4.7918e-22,0,0.048436,0.048436,0,-1.9922e-19,0,32.994,1752.2,ARMED
0.04,20,10,0.00051442,3.4731e-22,0,0.061847,0.061847,0,-3.662e-19,0,32.993,1820.5,ARMED
0.0425,20,10,0.0007059,9.6351e-23,0,0.076595,0.076595,0,-5.3314e-19,0,32.992,1884.7,ARMED
0.045,20,10,0.0009374,-2.807e-22,0,0.092599,0.092599,0,-7.0005e-19,0,32.991,1945,ARMED
0.0475,20,10,0.0012119,-7.9021e-22,0,0.10978,0.10978,0,-8.669e-19,0,32.99,2001.6,ARMED
0.05,20,10,0.001532,-1.4379e-21,0,0.12808,0.12808,0,-1.0337e-18,0,32.989,2054.9,ARMED
0.0525,20,10,0.0019006,-2.2291e-21,0,0.14741,0.14741,0,-1.2005e-18,0,32.988,2104.9,ARMED
0.055,20,10,0.0023199,-3.1684e-21,0,0.16772,0.16772,0,-1.3672e-18,0,32.987,2151.8,ARMED
0.0575,20,10,0.0027923,-4.2601e-21,0,0.18895,0.18895,0,-1.5339e-18,0,32.985,2195.9,ARMED
0.06,20,10,0.0033199,-5.508e-21,0,0.21105,0.21105,0,-1.7006e-18,0,32.984,2237.4,ARMED
0.0625,20,10,0.0039048,-6.9155e-21,0,0.23396,0.23396,0,-1.8672e-18,0,32.983,2276.3,ARMED
0.065,20,10,0.0045488,-8.4858e-21,0,0.25762,0.25762,0,-2.0338e-18,0,32.982,2312.9,ARMED
0.0675,20,10,0.0052539,-1.0221e-20,0,0.28201,0.28201,0,-1.861e-18,0,32.98,2347.3,ARMED
0.07,20,10,0.0060215,-1.1832e-20,0,0.30706,0.30706,0,-1.6883e-18,0,32.979,2379.5,ARMED
0.0725,20,10,0.0068534,-1.3311e-20,0,0.33275,0.33275,0,-1.1764e-18,0,32.978,2409.9,ARMED
0.075,20,10,0.007751,-1.4354e-20,0,0.35903,0.35903,0,-3.2539e-19,0,32.976,2438.3,ARMED
0.0775,20,10,0.0087156,-1.4645e-20,0,0.38587,0.38587,0,8.6469e-19,0,32.975,2465.1,ARMED
0.08,20,10,0.0097487,-1.3862e-20,0,0.41323,0.41323,0,2.0545e-18,0,32.974,2490.2,ARMED
0.0825,20,10,0.010851,-1.1984e-20,0,0.44108,0.44108,0,3.244e-18,0,32.972,2513.8,ARMED
0.085,20,10,0.012025,-8.993e-21,0,0.46939,0.46939,0,4.0939e-18,0,32.971,2536,ARMED
0.0875,20,10,0.01327,-5.1868e-21,0,0.49814,0.49814,0,4.9436e-18,0,32.969,2556.9,ARMED
0.09,20,10,0.014588,-5.5545e-22,0,0.5273,0.5273,0,5.7931e-18,0,32.968,2576.5,ARMED
0.0925,20,10,0.015981,4.9104e-21,0,0.55684,0.55684,0,6.6424e-18,0,32.966,2594.8,ARMED
0.095,20,10,0.017447,1.1219e-20,0,0.58673,0.58673,0,7.8308e-18,0,32.965,2612.1,ARMED
0.0975,20,10,0.01899,1.8703e-20,0,0.61697,0.61697,0,9.3581e-18,0,32.963,2628.3,ARMED
0.1,20,10,0.020609,2.7698e-20,0,0.64752,0.64752,0,1.1224e-17,0,32.962,2643.6,ARMED
0.1025,20,10,0.022305,3.8545e-20,0,0.67837,0.67837,0,1.3429e-17,0,32.96,2657.9,ARMED
0.105,20,10,0.024078,5.1589e-20,0,0.7095,0.7095,0,1.5973e-17,0,32.959,2671.4,ARMED
0.1075,20,10,0.025931,6.7177e-20,0,0.74089,0.74089,0,1.8177e-17,0,32.957,2684,ARMED
0.11,20,10,0.027862,8.4994e-20,0,0.77253,0.77253,0,2.038e-17,0,32.955,2695.9,ARMED
0.1125,20,10,0.029873,1.0505e-19,0,0.8044,0.8044,0,2.2243e-17,0,32.954,2707,ARMED
0.115,20,10,0.031964,1.2703e-19,0,0.83649,0.83649,0,2.3767e-17,0,32.952,2717.5,ARMED
0.1175,20,10,0.034136,1.506e-19,0,0.86878,0.86878,0,2.529e-17,0,32.951,2727.4,ARMED
0.12,20,10,0.036389,1.7576e-19,0,0.90126,0.90126,0,2.6813e-17,0,32.949,2736.6,ARMED
0.1225,20,10,0.038724,2.0253e-19,0,0.93393,0.93393,0,2.7997e-17,0,32.947,2745.3,ARMED
0.125,20,10,0.041141,2.3055e-19,0,0.96676,0.96676,0,2.918e-17,0,32.946,2753.5,ARMED
0.1275,20,10,0.04364,2.5984e-19,0,0.99975,0.99975,0,3.0362e-17,0,32.944,2761.1,ARMED
0.13,20,10,0.046222,2.904e-19,0,1.0329,1.0329,0,3.1884e-17,0,32.943,2768.3,ARMED
0.1325,20,10,0.048888,3.2257e-19,0,1.0662,1.0662,0,3.3405e-17,0,32.941,2775.1,ARMED
0.135,20,10,0.051637,3.5635e-19,0,1.0996,1.0996,0,3.4926e-17,0,32.939,2781.5,ARMED
0.1375,20,10,0.05447,3.9174e-19,0,1.1331,1.1331,0,3.6447e-17,0,32.938,2787.4,ARMED
0.14,20,10,0.057387,4.2875e-19,0,1.1668,1.1668,0,3.7628e-17,0,32.936,2793,ARMED
0.1425,20,10,0.060388,4.6703e-19,0,1.2005,1.2005,0,3.8808e-17,0,32.934,2798.3,ARMED
0.145,20,10,0.063474,5.0657e-19,0,1.2344,1.2344,0,3.9989e-17,0,32.933,2803.3,ARMED
0.1475,20,10,0.066645,5.4739e-19,0,1.2683,1.2683,0,4.1169e-17,0,32.931,2807.9,ARMED
0.15,20,10,0.069901,5.8948e-19,0,1.3024,1.3024,0,4.2009e-17,0,32.929,2812.3,ARMED
0.1525,20,10,0.073242,6.3246e-19,0,1.3365,1.3365,0,4.2849e-17,0,32.927,2814.7,ARMED
0.155,20,10,0.076668,6.7633e-19,0,1.3706,1.3706,0,4.4028e-17,0,32.926,2817,ARMED
0.1575,20,10,0.08018,7.2145e-19,0,1.4048,1.4048,0,4.5547e-17,0,32.924,2819.1,ARMED
0.16,20,10,0.083778,7.6816e-19,0,1.439,1.439,0,4.7065e-17,0,32.922,2821.2,ARMED
0.1625,20,10,0.087461,8.1634e-19,0,1.4732,1.4732,0,4.7564e-17,0,32.921,2816.7,ARMED
0.165,20,10,0.091229,8.6496e-19,0,1.5072,1.5072,0,4.7385e-17,0,32.919,2812.5,ARMED
0.1675,20,10,0.095082,9.1333e-19,0,1.5412,1.5412,0,4.6867e-17,0,32.917,2808.5,ARMED
0.17,20,10,0.099019,9.611e-19,0,1.575,1.575,0,4.601e-17,0,32.916,2804.8,ARMED
0.1725,20,10,0.10304,1.0078e-18,0,1.6087,1.6087,0,4.4135e-17,0,32.914,2795.1,ARMED
0.175,20,10,0.10715,1.0525e-18,0,1.6422,1.6422,0,4.1922e-17,0,32.912,2785.9,ARMED
0.1775,20,10,0.11134,1.0948e-18,0,1.6755,1.6755,0,3.8691e-17,0,32.911,2777.4,ARMED
0.18,20,10,0.11561,1.1338e-18,0,1.7086,1.7086,0,3.4443e-17,0,32.909,2769.3,ARMED
0.1825,20,10,0.11996,1.1682e-18,0,1.7415,1.7415,0,2.9857e-17,0,32.907,2755.8,ARMED
0.185,20,10,0.1244,1.198e-18,0,1.774,1.774,0,2.4254e-17,0,32.906,2743,ARMED
0.1875,20,10,0.12891,1.222e-18,0,1.8064,1.8064,0,1.7974e-17,0,32.904,2731.1,ARMED
0.19,20,10,0.13351,1.2398e-18,0,1.8385,1.8385,0,1.0678e-17,0,32.903,2719.9,ARMED
0.1925,20,10,0.13818,1.2502e-18,0,1.8702,1.8702,0,2.7058e-18,0,32.901,2703.6,ARMED
0.195,20,10,0.14294,1.2528e-18,0,1.9016,1.9016,0,-5.9434e-18,0,32.899,2688.3,ARMED
0.1975,20,10,0.14777,1.247e-18,0,1.9328,1.9328,0,-1.5269e-17,0,32.898,2673.9,ARMED
0.2,20,10,0.15268,1.2322e-18,0,1.9636,1.9636,0,-2.5271e-17,0,32.896,2660.5,ARMED
0.2025,20,10,0.15766,1.2079e-18,0,1.9941,1.9941,0,-3.5948e-17,0,32.895,2642.3,ARMED
0.205,20,10,0.16272,1.1735e-18,0,2.0242,2.0242,0,-4.7302e-17,0,32.893,2625.2,ARMED
0.2075,20,10,0.16786,1.1286e-18,0,2.054,2.054,0,-5.8992e-17,0,32.892,2609.2,ARMED
0.21,20,10,0.17307,1.0729e-18,0,2.0834,2.0834,0,-7.1697e-17,0,32.89,2594.2,ARMED
0.2125,20,10,0.17835,1.0058e-18,0,2.1125,2.1125,0,-8.5416e-17,0,32.889,2574.8,ARMED
0.215,20,10,0.1837,9.2633e-19,0,2.1412,2.1412,0,-9.9811e-17,0,32.887,2556.5,ARMED
0.2175,20,10,0.18913,8.3414e-19,0,2.1695,2.1695,0,-1.1488e-16,0,32.886,2539.4,ARMED
0.22,20,10,0.19462,7.287e-19,0,2.1974,2.1974,0,-1.3062e-16,0,32.884,2523.3,ARMED
0.2225,20,10,0.20018,6.0978e-19,0,2.225,2.225,0,-1.4704e-16,0,32.883,2503.2,ARMED
0.225,20,10,0.20581,4.7693e-19,0,2.2522,2.2522,0,-1.6414e-16,0,32.882,2484.3,ARMED
0.2275,20,10,0.21151,3.2971e-19,0,2.2789,2.2789,0,-1.8224e-16,0,32.88,2466.5,ARMED
0.23,20,10,0.21727,1.6736e-19,0,2.3054,2.3054,0,-2.0102e-16,0,32.879,2449.8,ARMED
0.2325,20,10,0.2231,-1.0215e-20,0,2.3314,2.3314,0,-2.2082e-16,0,32.877,2429.3,ARMED
0.235,20,10,0.22899,-2.0372e-19,0,2.357,2.357,0,-2.4162e-16,0,32.876,2410,ARMED
0.2375,20,10,0.23495,-4.1386e-19,0,2.3822,2.3822,0,-2.6344e-16,0,32.875,2391.9,ARMED
0.24,20,10,0.24097,-6.4134e-19,0,2.4071,2.4071,0,-2.8594e-16,0,32.874,2374.9,ARMED
0.2425,20,10,0.24705,-8.8609e-19,0,2.4315,2.4315,0,-3.091e-16,0,32.872,2354.3,ARMED
0.245,20,10,0.25318,-1.1485e-18,0,2.4555,2.4555,0,-3.3294e-16,0,32.871,2335,ARMED
0.2475,20,10,0.25938,-1.4289e-18,0,2.4792,2.4792,0,-3.5745e-16,0,32.87,2316.8,ARMED
0.25,20,10,0.26564,-1.7278e-18,0,2.5025,2.5025,0,-3.8229e-16,0,32.868,2299.8,ARMED
0.2525,20,10,0.27195,-2.0445e-18,0,2.5253,2.5253,0,-4.0815e-16,0,32.867,2279.3,ARMED
0.255,20,10,0.27832,-2.3799e-18,0,2.5478,2.5478,0,-4.3434e-16,0,32.866,2260.1,ARMED
0.2575,20,10,0.28475,-2.7338e-18,0,2.5699,2.5699,0,-4.612e-16,0,32.865,2242,ARMED
0.26,20,10,0.29123,-3.1069e-18,0,2.5916,2.5916,0,-4.8873e-16,0,32.864,2225.1,ARMED
0.2625,20,10,0.29776,-3.4986e-18,0,2.6129,2.6129,0,-5.1693e-16,0,32.862,2204.9,ARMED
0.265,20,10,0.30434,-3.9093e-18,0,2.6338,2.6338,0,-5.4547e-16,0,32.861,2186,ARMED
0.2675,20,10,0.31098,-4.3392e-18,0,2.6544,2.6544,0,-5.7433e-16,0,32.86,2168.2,ARMED
0.27,20,10,0.31766,-4.7883e-18,0,2.6746,2.6746,0,-6.0387e-16,0,32.859,2151.5,ARMED
0.2725,20,10,0.3244,-5.2561e-18,0,2.6943,2.6943,0,-6.3408e-16,0,32.858,2131.8,ARMED
0.275,20,10,0.33118,-5.7431e-18,0,2.7137,2.7137,0,-6.6496e-16,0,32.857,2113.2,ARMED
0.2775,20,10,0.33802,-6.2496e-18,0,2.7327,2.7327,0,-6.9618e-16,0,32.856,2095.8,ARMED
0.28,20,10,0.34489,-6.7757e-18,0,2.7514,2.7514,0,-7.2806e-16,0,32.855,2079.5,ARMED
0.2825,20,10,0.35182,-7.3208e-18,0,2.7697,2.7697,0,-7.6028e-16,0,32.854,2060.2,ARMED
0.285,20,10,0.35879,-7.885e-18,0,2.7876,2.7876,0,-7.9316e-16,0,32.853,2042.2,ARMED
0.2875,20,10,0.3658,-8.4687e-18,0,2.8052,2.8052,0,-8.2672e-16,0,32.852,2025.2,ARMED
0.29,20,10,0.37286,-9.0723e-18,0,2.8224,2.8224,0,-8.606e-16,0,32.85,2009.2,ARMED
0.2925,20,10,0.37995,-9.6948e-18,0,2.8392,2.8392,0,-8.9516e-16,0,32.849,1990.6,ARMED
0.295,20,10,0.38709,-1.0337e-17,0,2.8556,2.8556,0,-9.3005e-16,0,32.848,1973,ARMED
0.2975,20,10,0.39427,-1.0998e-17,0,2.8718,2.8718,0,-9.6526e-16,0,32.848,1956.6,ARMED
0.3,20,10,0.40149,-1.1678e-17,0,2.8875,2.8875,0,-1.0008e-15,0,32.847,1941.1,ARMED
0.3025,20,10,0.40875,-1.2378e-17,0,2.9029,2.9029,0,-1.037e-15,0,32.846,1923,ARMED
0.305,20,10,0.41604,-1.3096e-17,0,2.918,2.918,0,-1.0736e-15,0,32.845,1906.1,ARMED
0.3075,20,10,0.42338,-1.3833e-17,0,2.9327,2.9327,0,-1.1101e-15,0,32.844,1890.1,ARMED
0.31,20,10,0.43074,-1.4589e-17,0,2.9471,2.9471,0,-1.1466e-15,0,32.843,1875.2,ARMED
0.3125,20,10,0.43815,-1.5363e-17,0,2.9612,2.9612,0,-1.1835e-15,0,32.842,1857.7,ARMED
0.315,20,10,0.44558,-1.6155e-17,0,2.9749,2.9749,0,-1.2204e-15,0,32.841,1841.4,ARMED
0.3175,20,10,0.45305,-1.6964e-17,0,2.9882,2.9882,0,-1.2569e-15,0,32.84,1826,ARMED
0.32,20,10,0.46056,-1.7791e-17,0,3.0013,3.0013,0,-1.2933e-15,0,32.839,1811.6,ARMED
0.3225,20,10,0.46809,-1.8634e-17,0,3.014,3.014,0,-1.3295e-15,0,32.838,1794.8,ARMED
0.325,20,10,0.47566,-1.9493e-17,0,3.0264,3.0264,0,-1.3653e-15,0,32.838,1779,ARMED
0.3275,20,10,0.48326,-2.0368e-17,0,3.0385,3.0385,0,-1.4007e-15,0,32.837,1764.2,ARMED
0.33,20,10,0.49088,-2.1259e-17,0,3.0503,3.0503,0,-1.4358e-15,0,32.836,1750.3,ARMED
0.3325,20,10,0.49854,-2.2163e-17,0,3.0618,3.0618,0,-1.4706e-15,0,32.835,1734.2,ARMED
0.335,20,10,0.50622,-2.3081e-17,0,3.0729,3.0729,0,-1.505e-15,0,32.834,1719,ARMED
0.3375,20,10,0.51393,-2.4013e-17,0,3.0838,3.0838,0,-1.5392e-15,0,32.833,1704.8,ARMED
0.34,20,10,0.52166,-2.4958e-17,0,3.0943,3.0943,0,-1.5734e-15,0,32.833,1691.5,ARMED
0.3425,20,10,0.52942,-2.5916e-17,0,3.1046,3.1046,0,-1.6075e-15,0,32.832,1676,ARMED
0.345,20,10,0.53721,-2.6886e-17,0,3.1145,3.1145,0,-1.6412e-15,0,32.831,1661.5,ARMED
0.3475,20,10,0.54502,-2.7868e-17,0,3.1241,3.1241,0,-1.6743e-15,0,32.83,1647.8,ARMED
0.35,20,10,0.55286,-2.8862e-17,0,3.1335,3.1335,0,-1.7075e-15,0,32.83,1635,ARMED
0.3525,20,10,0.56071,-2.9866e-17,0,3.1426,3.1426,0,-1.7405e-15,0,32.829,1620.2,ARMED
0.355,20,10,0.56859,-3.0881e-17,0,3.1514,3.1514,0,-1.773e-15,0,32.828,1606.3,ARMED
0.3575,20,10,0.57649,-3.1906e-17,0,3.1599,3.1599,0,-1.8053e-15,0,32.827,1593.2,ARMED
0.36,20,10,0.58441,-3.2942e-17,0,3.1681,3.1681,0,-1.8372e-15,0,32.827,1580.9,ARMED
0.3625,20,10,0.59235,-3.3987e-17,0,3.1761,3.1761,0,-1.8688e-15,0,32.826,1566.7,ARMED
0.365,20,10,0.60031,-3.5041e-17,0,3.1838,3.1838,0,-1.8999e-15,0,32.825,1553.4,ARMED
0.3675,20,10,0.60829,-3.6104e-17,0,3.1912,3.1912,0,-1.9306e-15,0,32.825,1540.9,ARMED
0.37,20,10,0.61628,-3.7175e-17,0,3.1984,3.1984,0,-1.9612e-15,0,32.824,1529.1,ARMED
0.3725,20,10,0.6243,-3.8254e-17,0,3.2053,3.2053,0,-1.9916e-15,0,32.823,1515.6,ARMED
0.375,20,10,0.63233,-3.934e-17,0,3.2119,3.2119,0,-2.0218e-15,0,32.823,1502.9,ARMED
0.3775,20,10,0.64037,-4.0434e-17,0,3.2182,3.2182,0,-2.0514e-15,0,32.822,1490.9,ARMED
0.38,20,10,0.64843,-4.1536e-17,0,3.2244,3.2244,0,-2.0808e-15,0,32.821,1479.7,ARMED
0.3825,20,10,0.65651,-4.2643e-17,0,3.2303,3.2303,0,-2.1099e-15,0,32.821,1466.7,ARMED
0.385,20,10,0.6646,-4.3757e-17,0,3.2359,3.2359,0,-2.1389e-15,0,32.82,1454.6,ARMED
0.3875,20,10,0.6727,-4.4877e-17,0,3.2412,3.2412,0,-2.1676e-15,0,32.819,1443.2,ARMED
0.39,20,10,0.68082,-4.6003e-17,0,3.2464,3.2464,0,-2.1959e-15,0,32.819,1432.4,ARMED
0.3925,20,10,0.68895,-4.7135e-17,0,3.2513,3.2513,0,-2.224e-15,0,32.818,1420.1,ARMED
0.395,20,10,0.69709,-4.8271e-17,0,3.2559,3.2559,0,-2.2516e-15,0,32.818,1408.5,ARMED
0.3975,20,10,0.70524,-4.9413e-17,0,3.2604,3.2604,0,-2.2787e-15,0,32.817,1397.6,ARMED
0.4,20,10,0.7134,-5.056e-17,0,3.2646,3.2646,0,-2.3054e-15,0,32.817,1387.4,ARMED
0.4025,20,10,0.72157,-5.171e-17,0,3.2685,3.2685,0,-2.3316e-15,0,32.816,1375.6,ARMED
0.405,20,10,0.72975,-5.2864e-17,0,3.2723,3.2723,0,-2.3577e-15,0,32.815,1364.6,ARMED
0.4075,20,10,0.73794,-5.4022e-17,0,3.2758,3.2758,0,-2.3834e-15,0,32.815,1354.2,ARMED
0.41,20,10,0.74614,-5.5184e-17,0,3.2791,3.2791,0,-2.4087e-15,0,32.814,1344.5,ARMED
0.4125,20,10,0.75434,-5.6349e-17,0,3.2822,3.2822,0,-2.4339e-15,0,32.814,1333.3,ARMED
0.415,20,10,0.76256,-5.7517e-17,0,3.285,3.285,0,-2.4589e-15,0,32.813,1322.8,ARMED
0.4175,20,10,0.77077,-5.8687e-17,0,3.2877,3.2877,0,-2.4836e-15,0,32.813,1312.9,ARMED
0.42,20,10,0.779,-5.9861e-17,0,3.2902,3.2902,0,-2.5079e-15,0,32.812,1303.6,ARMED
0.4225,20,10,0.78723,-6.1037e-17,0,3.2924,3.2924,0,-2.5318e-15,0,32.812,1293,ARMED
0.425,20,10,0.79547,-6.2215e-17,0,3.2944,3.2944,0,-2.5556e-15,0,32.811,1283,ARMED
0.4275,20,10,0.80371,-6.3395e-17,0,3.2963,3.2963,0,-2.5792e-15,0,32.811,1273.6,ARMED
0.43,20,10,0.81195,-6.4578e-17,0,3.2979,3.2979,0,-2.6027e-15,0,32.81,1264.7,ARMED
0.4325,20,10,0.8202,-6.5761e-17,0,3.2994,3.2994,0,-2.626e-15,0,32.81,1254.6,ARMED
0.435,20,10,0.82845,-6.6947e-17,0,3.3006,3.3006,0,-2.649e-15,0,32.809,1245.1,ARMED
0.4375,20,10,0.83671,-6.8134e-17,0,3.3017,3.3017,0,-2.6718e-15,0,32.809,1236.2,ARMED
0.44,20,10,0.84496,-6.9323e-17,0,3.3025,3.3025,0,-2.6944e-15,0,32.808,1227.8,ARMED
0.4425,20,10,0.85322,-7.0512e-17,0,3.3032,3.3032,0,-2.7166e-15,0,32.808,1218.2,ARMED
0.445,20,10,0.86148,-7.1703e-17,0,3.3037,3.3037,0,-2.7381e-15,0,32.807,1209.2,ARMED
0.4475,20,10,0.86974,-7.2894e-17,0,3.304,3.304,0,-2.759e-15,0,32.807,1200.7,ARMED
0.45,20,10,0.878,-7.4087e-17,0,3.3042,3.3042,0,-2.7791e-15,0,32.806,1192.7,ARMED
0.4525,20,10,0.88626,-7.5279e-17,0,3.3041,3.3041,0,-2.7986e-15,0,32.806,1183.6,ARMED
0.455,20,10,0.89452,-7.6471e-17,0,3.3039,3.3039,0,-2.8174e-15,0,32.805,1175.1,ARMED
0.4575,20,10,0.90278,-7.7662e-17,0,3.3035,3.3035,0,-2.8357e-15,0,32.805,1167,ARMED
0.46,20,10,0.91104,-7.8853e-17,0,3.303,3.303,0,-2.8532e-15,0,32.804,1159.5,ARMED
0.4625,20,10,0.91929,-8.0043e-17,0,3.3023,3.3023,0,-2.8698e-15,0,32.804,1150.8,ARMED
0.465,20,10,0.92755,-8.1231e-17,0,3.3014,3.3014,0,-2.8857e-15,0,32.803,1142.7,ARMED
0.4675,20,10,0.9358,-8.2417e-17,0,3.3003,3.3003,0,-2.9009e-15,0,32.803,1135.1,ARMED
0.47,20,10,0.94405,-8.3603e-17,0,3.2991,3.2991,0,-2.9152e-15,0,32.803,1128,ARMED
0.4725,20,10,0.95229,-8.4785e-17,0,3.2978,3.2978,0,-2.9289e-15,0,32.802,1119.8,ARMED
0.475,20,10,0.96053,-8.5965e-17,0,3.2962,3.2962,0,-2.9419e-15,0,32.802,1112.1,ARMED
0.4775,20,10,0.96877,-8.7142e-17,0,3.2946,3.2946,0,-2.9543e-15,0,32.801,1104.9,ARMED
0.48,20,10,0.977,-8.8317e-17,0,3.2927,3.2927,0,-2.9657e-15,0,32.801,1098.1,ARMED
0.4825,20,10,0.98523,-8.9488e-17,0,3.2908,3.2908,0,-2.9764e-15,0,32.801,1090.4,ARMED
0.485,20,10,0.99345,-9.0655e-17,0,3.2886,3.2886,0,-2.9863e-15,0,32.8,1083.1,ARMED
0.4875,20,10,1.0017,-9.1819e-17,0,3.2863,3.2863,0,-2.9956e-15,0,32.8,1076.3,ARMED
0.49,20,10,1.0099,-9.2979e-17,0,3.2839,3.2839,0,-3.0041e-15,0,32.799,1069.9,ARMED
0.4925,20,10,1.0181,-9.4134e-17,0,3.2814,3.2814,0,-3.012e-15,0,32.799,1062.6,ARMED
0.495,20,10,1.0263,-9.5286e-17,0,3.2787,3.2787,0,-3.0192e-15,0,32.799,1055.7,ARMED
0.4975,20,10,1.0345,-9.6432e-17,0,3.2758,3.2758,0,-3.0258e-15,0,32.798,1049.3,ARMED
0.5,20,10,1.0426,-9.7575e-17,0,3.2729,3.2729,0,-3.0316e-15,0,32.798,1043.2,ARMED
0.5025,20,10,1.0508,-9.8782e-17,0,3.2711,3.2711,0,-3.0368e-15,0,32.797,1100.1,TAKEOFF
0.505,20,10,1.059,-1.0005e-16,0,3.2704,3.2704,0,-3.0413e-15,0,32.797,1153.6,TAKEOFF
0.5075,20,10,1.0672,-1.0138e-16,0,3.2708,3.2708,0,-3.045e-15,0,32.796,1203.8,TAKEOFF
0.51,20,10,1.0754,-1.0276e-16,0,3.2722,3.2722,0,-3.0479e-15,0,32.796,1251,TAKEOFF
0.5125,20,10,1.0835,-1.0418e-16,0,3.2745,3.2745,0,-3.0502e-15,0,32.795,1294,TAKEOFF
0.515,20,10,1.0917,-1.0566e-16,0,3.2776,3.2776,0,-3.0518e-15,0,32.795,1334.4,TAKEOFF
0.5175,20,10,1.0999,-1.0718e-16,0,3.2815,3.2815,0,-3.0529e-15,0,32.794,1372.3,TAKEOFF
0.52,20,10,1.1082,-1.0873e-16,0,3.2861,3.2861,0,-3.0534e-15,0,32.794,1408,TAKEOFF
0.5225,20,10,1.1164,-1.1032e-16,0,3.2914,3.2914,0,-3.0534e-15,0,32.793,1438.9,TAKEOFF
0.525,20,10,1.1246,-1.1195e-16,0,3.2973,3.2973,0,-3.0533e-15,0,32.792,1467.9,TAKEOFF
0.5275,20,10,1.1329,-1.136e-16,0,3.3037,3.3037,0,-3.0529e-15,0,32.792,1495.2,TAKEOFF
0.53,20,10,1.1412,-1.1528e-16,0,3.3107,3.3107,0,-3.052e-15,0,32.791,1520.9,TAKEOFF
0.5325,20,10,1.1495,-1.1699e-16,0,3.3181,3.3181,0,-3.0507e-15,0,32.79,1542.5,TAKEOFF
0.535,20,10,1.1578,-1.1872e-16,0,3.326,3.326,0,-3.0491e-15,0,32.79,1562.8,TAKEOFF
0.5375,20,10,1.1661,-1.2046e-16,0,3.3342,3.3342,0,-3.0473e-15,0,32.789,1581.8,TAKEOFF
0.54,20,10,1.1745,-1.2223e-16,0,3.3429,3.3429,0,-3.045e-15,0,32.788,1599.7,TAKEOFF
0.5425,20,10,1.1828,-1.2401e-16,0,3.3518,3.3518,0,-3.0426e-15,0,32.788,1614.2,TAKEOFF
0.545,20,10,1.1912,-1.258e-16,0,3.361,3.361,0,-3.0396e-15,0,32.787,1627.8,TAKEOFF
0.5475,20,10,1.1997,-1.2761e-16,0,3.3705,3.3705,0,-3.0363e-15,0,32.786,1640.5,TAKEOFF
0.55,20,10,1.2081,-1.2943e-16,0,3.3802,3.3802,0,-3.0328e-15,0,32.785,1652.5,TAKEOFF
0.5525,20,10,1.2166,-1.3125e-16,0,3.3901,3.3901,0,-3.0293e-15,0,32.785,1661.5,TAKEOFF
0.555,20,10,1.2251,-1.3308e-16,0,3.4002,3.4002,0,-3.0259e-15,0,32.784,1670,TAKEOFF
0.5575,20,10,1.2336,-1.3492e-16,0,3.4104,3.4104,0,-3.0226e-15,0,32.783,1678,TAKEOFF
0.56,20,10,1.2422,-1.3677e-16,0,3.4208,3.4208,0,-3.0193e-15,0,32.782,1685.5,TAKEOFF
0.5625,20,10,1.2508,-1.3862e-16,0,3.4313,3.4313,0,-3.016e-15,0,32.781,1690.4,TAKEOFF
0.565,20,10,1.2594,-1.4047e-16,0,3.4419,3.4419,0,-3.0127e-15,0,32.781,1695,TAKEOFF
0.5675,20,10,1.268,-1.4232e-16,0,3.4526,3.4526,0,-3.0095e-15,0,32.78,1699.3,TAKEOFF
0.57,20,10,1.2767,-1.4418e-16,0,3.4634,3.4634,0,-3.0064e-15,0,32.779,1703.3,TAKEOFF
0.5725,20,10,1.2853,-1.4603e-16,0,3.4742,3.4742,0,-3.0031e-15,0,32.778,1705.1,TAKEOFF
0.575,20,10,1.294,-1.4789e-16,0,3.485,3.485,0,-2.9998e-15,0,32.777,1706.8,TAKEOFF
